OID_,Value,Count,CLASSNAMES,R,G,B,RED,GREEN,BLUE
64,151,175961.000000000000000,Tree Cover = 51%,84,161,53,0.329412000000000,0.631373000000000,0.207843000000000
65,152,187555.000000000000000,Tree Cover = 52%,79,158,51,0.309804000000000,0.619608000000000,0.200000000000000
66,153,200828.000000000000000,Tree Cover = 53%,78,156,50,0.305882000000000,0.611765000000000,0.196078000000000
67,154,214430.000000000000000,Tree Cover = 54%,76,153,47,0.298039000000000,0.600000000000000,0.184314000000000
68,155,279991.000000000000000,Tree Cover = 55%,71,150,45,0.278431000000000,0.588235000000000,0.176471000000000
69,156,244638.000000000000000,Tree Cover = 56%,69,148,43,0.270588000000000,0.580392000000000,0.168627000000000
70,157,263340.000000000000000,Tree Cover = 57%,68,145,42,0.266667000000000,0.568627000000000,0.164706000000000
71,158,281415.000000000000000,Tree Cover = 58%,64,143,40,0.250980000000000,0.560784000000000,0.156863000000000
72,159,301764.000000000000000,Tree Cover = 59%,62,140,38,0.243137000000000,0.549020000000000,0.149020000000000
73,160,323211.000000000000000,Tree Cover = 60%,62,140,38,0.243137000000000,0.549020000000000,0.149020000000000
74,161,347477.000000000000000,Tree Cover = 61%,58,138,36,0.227451000000000,0.541176000000000,0.141176000000000
75,162,372548.000000000000000,Tree Cover = 62%,56,135,34,0.219608000000000,0.529412000000000,0.133333000000000
76,163,401465.000000000000000,Tree Cover = 63%,55,133,33,0.215686000000000,0.521569000000000,0.129412000000000
77,164,431467.000000000000000,Tree Cover = 64%,51,130,31,0.200000000000000,0.509804000000000,0.121569000000000
78,165,586526.000000000000000,Tree Cover = 65%,49,128,29,0.192157000000000,0.501961000000000,0.113725000000000
79,166,500135.000000000000000,Tree Cover = 66%,48,125,29,0.188235000000000,0.490196000000000,0.113725000000000
80,167,537511.000000000000000,Tree Cover = 67%,44,122,27,0.172549000000000,0.478431000000000,0.105882000000000
81,168,578259.000000000000000,Tree Cover = 68%,43,120,25,0.168627000000000,0.470588000000000,0.098039000000000
82,169,619457.000000000000000,Tree Cover = 69%,42,117,25,0.164706000000000,0.458824000000000,0.098039000000000
83,170,663665.000000000000000,Tree Cover = 70%,39,117,23,0.152941000000000,0.458824000000000,0.090196000000000
84,171,704193.000000000000000,Tree Cover = 71%,37,115,22,0.145098000000000,0.450980000000000,0.086275000000000
85,172,743465.000000000000000,Tree Cover = 72%,36,112,21,0.141176000000000,0.439216000000000,0.082353000000000
86,173,785254.000000000000000,Tree Cover = 73%,33,110,20,0.129412000000000,0.431373000000000,0.078431000000000
87,174,821330.000000000000000,Tree Cover = 74%,32,107,18,0.125490000000000,0.419608000000000,0.070588000000000
88,175,908044.000000000000000,Tree Cover = 75%,31,105,18,0.121569000000000,0.411765000000000,0.070588000000000
89,176,882350.000000000000000,Tree Cover = 76%,28,102,16,0.109804000000000,0.400000000000000,0.062745000000000
90,177,905921.000000000000000,Tree Cover = 77%,26,99,15,0.101961000000000,0.388235000000000,0.058824000000000
91,178,923819.000000000000000,Tree Cover = 78%,26,97,15,0.101961000000000,0.380392000000000,0.058824000000000
92,179,934692.000000000000000,Tree Cover = 79%,23,94,13,0.090196000000000,0.368627000000000,0.050980000000000
93,180,942161.000000000000000,Tree Cover = 80%,22,94,12,0.086275000000000,0.368627000000000,0.047059000000000
94,181,929557.000000000000000,Tree Cover = 81%,21,92,12,0.082353000000000,0.360784000000000,0.047059000000000
95,182,912048.000000000000000,Tree Cover = 82%,19,89,11,0.074510000000000,0.349020000000000,0.043137000000000
96,183,882393.000000000000000,Tree Cover = 83%,17,87,10,0.066667000000000,0.341176000000000,0.039216000000000
97,184,837728.000000000000000,Tree Cover = 84%,17,84,9,0.066667000000000,0.329412000000000,0.035294000000000
98,185,839385.000000000000000,Tree Cover = 85%,14,82,8,0.054902000000000,0.321569000000000,0.031373000000000
99,186,706394.000000000000000,Tree Cover = 86%,13,79,7,0.050980000000000,0.309804000000000,0.027451000000000
100,187,1295455.000000000000000,Tree Cover = 87%,13,77,7,0.050980000000000,0.301961000000000,0.027451000000000
101,188,373841.000000000000000,Tree Cover = 88%,10,74,6,0.039216000000000,0.290196000000000,0.023529000000000
102,189,335840.000000000000000,Tree Cover = 89%,9,71,5,0.035294000000000,0.278431000000000,0.019608000000000
103,190,309153.000000000000000,Tree Cover = 90%,9,71,5,0.035294000000000,0.278431000000000,0.019608000000000
104,191,224260.000000000000000,Tree Cover = 91%,7,69,4,0.027451000000000,0.270588000000000,0.015686000000000
105,192,183709.000000000000000,Tree Cover = 92%,6,66,3,0.023529000000000,0.258824000000000,0.011765000000000
106,193,142723.000000000000000,Tree Cover = 93%,6,64,3,0.023529000000000,0.250980000000000,0.011765000000000
107,195,2061.000000000000000,Tree Cover = 95%,4,59,2,0.015686000000000,0.231373000000000,0.007843000000000
108,210,2443.000000000000000,Shrub Cover = 10%,212,178,125,0.831373000000000,0.698039000000000,0.490196000000000
109,211,2368.000000000000000,Shrub Cover = 11%,212,176,123,0.831373000000000,0.690196000000000,0.482353000000000
110,212,6994.000000000000000,Shrub Cover = 12%,212,175,123,0.831373000000000,0.686275000000000,0.482353000000000
111,213,6313.000000000000000,Shrub Cover = 13%,212,174,121,0.831373000000000,0.682353000000000,0.474510000000000
112,214,8242.000000000000000,Shrub Cover = 14%,209,170,119,0.819608000000000,0.666667000000000,0.466667000000000
113,215,3251.000000000000000,Shrub Cover = 15%,209,168,117,0.819608000000000,0.658824000000000,0.458824000000000
114,216,2527.000000000000000,Shrub Cover = 16%,209,166,117,0.819608000000000,0.650980000000000,0.458824000000000
115,217,1561.000000000000000,Shrub Cover = 17%,209,165,115,0.819608000000000,0.647059000000000,0.450980000000000
116,218,2160.000000000000000,Shrub Cover = 18%,209,164,115,0.819608000000000,0.643137000000000,0.450980000000000
117,219,2412.000000000000000,Shrub Cover = 19%,209,161,113,0.819608000000000,0.631373000000000,0.443137000000000
118,220,3393.000000000000000,Shrub Cover = 20%,207,159,112,0.811765000000000,0.623529000000000,0.439216000000000
119,221,3874.000000000000000,Shrub Cover = 21%,207,156,109,0.811765000000000,0.611765000000000,0.427451000000000
120,222,4931.000000000000000,Shrub Cover = 22%,207,155,109,0.811765000000000,0.607843000000000,0.427451000000000
121,223,5058.000000000000000,Shrub Cover = 23%,207,154,107,0.811765000000000,0.603922000000000,0.419608000000000
122,224,5514.000000000000000,Shrub Cover = 24%,207,152,107,0.811765000000000,0.596078000000000,0.419608000000000
123,225,6342.000000000000000,Shrub Cover = 25%,207,151,105,0.811765000000000,0.592157000000000,0.411765000000000
124,226,6941.000000000000000,Shrub Cover = 26%,204,147,104,0.800000000000000,0.576471000000000,0.407843000000000
125,227,7717.000000000000000,Shrub Cover = 27%,204,146,102,0.800000000000000,0.572549000000000,0.400000000000000
