OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
258,7370,21762.000000000000000,Appalachian Hemlock Forest,7370,2370,Tr Appalachian Hemlock Forest,Tree,Conifer,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
261,7373,1956435.000000000000000,Acadian Low-Elevation Spruce-Fir Forest,7373,2373,Tr Acadian Low-Elevation Spruce-Fir Forest,Tree,Conifer,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
262,7374,1716614.000000000000000,Acadian-Appalachian Montane Spruce-Fir Forest,7374,2374,Tr Acadian-Appalachian Montane Spruce-Fir Forest,Tree,Conifer-Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
265,7377,367.000000000000000,Central Appalachian Pine Rocky Woodland,7377,2377,Tr Central Appalachian Rocky Pine Woodland,Tree,Conifer,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
274,7386,1219.000000000000000,Acadian-Appalachian Alpine Tundra Shrubland,7386,2386,Sh Acadian-Appalachian Alpine Tundra,Shrub,Shrubland,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
276,7389,21193.000000000000000,Acadian-Appalachian Subalpine Woodland,7389,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Tree,Conifer,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Open tree canopy,Evergreen open tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
343,7463,35685.000000000000000,Central Appalachian Dry Oak Forest,7369,2463,Tr Central Appalachian Dry Oak Forest,Tree,Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
344,7464,6614.000000000000000,Acadian Sub-Boreal Spruce Barrens,7464,2464,Tr Acadian Near-Boreal Spruce Barrens,Tree,Conifer,692,Spruce Flats and Barrens,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
345,7465,180519.000000000000000,Acadian Sub-Boreal Spruce Flat,7465,2465,Tr Acadian Sub-Boreal Spruce Flat,Tree,Conifer,692,Spruce Flats and Barrens,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
355,7481,477630.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,7481,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000
366,7502,7906.000000000000000,Central Appalachian Dry Oak-Pine Forest,7369,2502,Tr Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
374,7511,22591.000000000000000,Appalachian Northern Hardwood Forest,7370,2511,Tr Appalachian Northern Hardwood Forest,Tree,Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
375,7512,6333.000000000000000,Appalachian (Hemlock)-Northern Hardwood Forest,7370,2512,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,Conifer-Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
392,7554,764745.000000000000000,Acadian Low-Elevation Hardwood Forest,7373,2554,Tr Acadian Low-Elevation Hardwood Forest,Tree,Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
393,7555,473168.000000000000000,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,7373,2555,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,Conifer-Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
394,7556,404.000000000000000,Central Appalachian Oak Rocky Woodland,7377,2556,Tr Central Appalachian Rocky Oak Woodland,Tree,Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
395,7557,146.000000000000000,Central Appalachian Pine-Oak Rocky Woodland,7377,2557,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,Conifer-Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
432,7905,109290.000000000000000,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000
433,7906,79007.000000000000000,Eastern Cool Temperate Urban Evergreen Forest,7906,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667000000000,0.400000000000000,0.803922000000000
434,7907,102045.000000000000000,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
435,7908,38291.000000000000000,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
436,7909,17809.000000000000000,Eastern Cool Temperate Urban Shrubland,7909,2917,Dsh Urban Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765000000000,0.670588000000000,0.843137000000000
452,7925,22820.000000000000000,Eastern Cool Temperate Developed Deciduous Forest,7925,2908,Dtd Developed Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
453,7926,15144.000000000000000,Eastern Cool Temperate Developed Evergreen Forest,7926,2909,Dtc Developed Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
454,7927,7960.000000000000000,Eastern Cool Temperate Developed Mixed Forest,7927,2910,Dtm Developed Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
455,7928,4312.000000000000000,Eastern Cool Temperate Developed Shrubland,7928,2912,Dsh Developed Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,122,142,245,0.478431000000000,0.556863000000000,0.960784000000000
456,7929,5565.000000000000000,Eastern Cool Temperate Developed Herbaceous,7929,2911,Dgr Developed Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
476,7970,842.000000000000000,Eastern Cool Temperate Orchard,7970,2960,Dab Orchard,Tree,Agricultural,60,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,210,28,94,0.823529000000000,0.109804000000000,0.368627000000000
477,7971,137.000000000000000,Eastern Cool Temperate Vineyard,7971,2961,Da Vineyard,Agriculture,Agricultural,61,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824000000000,0.000000000000000,0.517647000000000
478,7972,61.000000000000000,Eastern Cool Temperate Bush fruit and berries,7972,2962,Dab Bush Fruit and Berries,Shrub,Agricultural,62,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,210,28,119,0.823529000000000,0.109804000000000,0.466667000000000
479,7973,2084.000000000000000,Eastern Cool Temperate Row Crop - Close Grown Crop,7973,2963,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,63,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,245,140,1.000000000000000,0.960784000000000,0.549020000000000
480,7974,107121.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
481,7975,93434.000000000000000,Eastern Cool Temperate Close Grown Crop,7975,2965,Da Close Grown Crop,Agriculture,Agricultural,65,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,237,119,1.000000000000000,0.929412000000000,0.466667000000000
482,7976,23167.000000000000000,Eastern Cool Temperate Fallow/Idle Cropland,7976,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1.000000000000000,1.000000000000000,0.466667000000000
483,7977,468660.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
484,7978,2520.000000000000000,Eastern Cool Temperate Wheat,7978,2968,Da Wheat,Agriculture,Agricultural,68,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,227,163,0.980392000000000,0.890196000000000,0.639216000000000
540,9039,697.000000000000000,Acadian-Appalachian Conifer Seepage Forest,9039,2526,Tr Laurentian-Acadian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
550,9055,19948.000000000000000,Boreal-Laurentian Bog,9055,2477,Tr Boreal Acidic Peatland Systems,Shrub,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
551,9056,73368.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,9056,2477,Tr Boreal Acidic Peatland Systems,Tree,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
